time,value
2003-04-01,36729.3708
2003-07-01,29219.0217
2003-10-01,29042.7618
2004-01-01,40276.4616
2004-04-01,39671.7678
2004-07-01,31277.19
2004-10-01,30971.7529
2005-01-01,35382.2887
2005-04-01,35404.0696
2005-07-01,36153.0369
2005-10-01,40946.327
2006-01-01,50667.4775
2006-04-01,52741.5178
2006-07-01,51835.362
2006-10-01,56995.7971
2007-01-01,65415.9275
2007-04-01,72413.1842
2007-07-01,72777.5792
2007-10-01,69772.9602
2008-01-01,78214.8282
2008-04-01,76074.5477
2008-07-01,73316.6364
2008-10-01,52065.9128
2009-01-01,49532.8309
2009-04-01,49095.3495
2009-07-01,44661.6616
2009-10-01,46800.4692
2010-01-01,51162.0153
2010-04-01,56595.9598
2010-07-01,57030.5157
2010-10-01,56133.0204
2011-01-01,64606.1802
2011-04-01,64462.832
2011-07-01,55910.0751
2011-10-01,51435.3084
2012-01-01,58245.559
2012-04-01,55412.8439
2012-07-01,53322.7911
2012-10-01,51427.2256
2013-01-01,57684.9322
2013-04-01,57895.5375
2013-07-01,57210.8457
2013-10-01,55392.304
2014-01-01,61844.1308
2014-04-01,59708.5946
2014-07-01,57343.9423
2014-10-01,55420.3026
2015-01-01,57567.716
2015-04-01,53885.442
2015-07-01,49970.3983
2015-10-01,50089.5709
2016-01-01,52669.8
2016-04-01,54382.6163
2016-07-01,54567.245
2016-10-01,53147.3261
2017-01-01,59878.7826
2017-04-01,60069.9704
2017-07-01,58637.5008
2017-10-01,62102.5388
2018-01-01,70627.6366
2018-04-01,74859.1937
2018-07-01,74067.2252
2018-10-01,76503.8953
2019-01-01,80229.4169
2019-04-01,87615.615
2019-07-01,82772.5554
2019-10-01,82915.4915
2020-01-01,70681.3029
2020-04-01,61630.9811
2020-07-01,68455.0871
2020-10-01,66712.8231
2021-01-01,72763.3005
2021-04-01,88250.3326
2021-07-01,98266.0493
2021-10-01,103645.2265
2022-01-01,120610.2025
2022-04-01,127038.7012
2022-07-01,123050.3043
2022-10-01,122856.6171
2023-01-01,125453.0599
2023-04-01,124543.2368
2023-07-01,114223.6129
2023-10-01,109564.4899
2024-01-01,112634.9962
2024-04-01,103605.3526
2024-07-01,98775.5848
2024-10-01,89926.7773
2025-01-01,93551.063
2025-04-01,93238.0597
